"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.7613,331.55,652.44,11.039,1.1717e-17,1.3001e+05,1,0,0.5,0,1
1.7595,331.82,651.99,11.287,1.1113e-17,1.3044e+05,1,0.0010166,0.501,0.000183,1
1.7577,332.09,651.53,11.534,1.0508e-17,1.3087e+05,1,0.0020332,0.502,0.000366,1
1.7559,332.36,651.08,11.782,9.9037e-18,1.3131e+05,1,0.0030498,0.503,0.000549,1
1.7541,332.63,650.62,12.029,9.2992e-18,1.3174e+05,1,0.0040664,0.504,0.000732,1
1.7523,332.9,650.16,12.277,8.6948e-18,1.3217e+05,1,0.005083,0.505,0.000915,1
1.7505,333.17,649.71,12.524,8.0903e-18,1.326e+05,1,0.0060996,0.506,0.001098,1
1.7487,333.44,649.25,12.772,7.4859e-18,1.3304e+05,1,0.0071163,0.507,0.001281,1
1.7469,333.71,648.8,13.02,6.8815e-18,1.3347e+05,1,0.0081329,0.508,0.001464,1
1.7451,333.98,648.34,13.267,6.2772e-18,1.339e+05,1,0.0091495,0.509,0.001647,1
1.7433,334.25,647.89,13.515,5.6729e-18,1.3433e+05,1,0.010166,0.51,0.00183,1
1.7415,334.52,647.43,13.763,5.0686e-18,1.3477e+05,1,0.011183,0.511,0.002013,1
1.7397,334.79,646.97,14.01,4.4643e-18,1.352e+05,1,0.012199,0.512,0.002196,1
1.7379,335.05,646.52,14.258,3.8601e-18,1.3563e+05,1,0.013216,0.513,0.002379,1
1.7361,335.32,646.06,14.506,3.2559e-18,1.3606e+05,1,0.014232,0.514,0.002562,1
1.7342,335.61,645.58,14.775,2.6675e-18,1.3653e+05,1,0.015249,0.515,0.002745,1
1.731,336.1,644.72,15.317,2.275e-18,1.3735e+05,1,0.016266,0.516,0.002928,1
1.7277,336.59,643.87,15.858,1.8825e-18,1.3818e+05,1,0.017282,0.517,0.003111,1
1.7245,337.08,643.01,16.399,1.4901e-18,1.3901e+05,1,0.018299,0.518,0.003294,1
1.7212,337.58,642.16,16.94,1.0977e-18,1.3983e+05,1,0.019316,0.519,0.003477,1
1.718,338.07,641.3,17.481,7.0523e-19,1.4066e+05,1,0.020332,0.52,0.00366,1
1.7147,338.56,640.45,18.022,3.128e-19,1.4149e+05,1,0.021349,0.521,0.003843,1
1.7115,339.05,639.59,18.563,-7.9606e-20,1.4231e+05,1,0.022365,0.522,0.004026,1
1.7082,339.54,638.74,19.104,-4.72e-19,1.4314e+05,1,0.023382,0.523,0.004209,1
1.7049,340.03,637.88,19.645,-8.6437e-19,1.4397e+05,1,0.024399,0.524,0.004392,1
1.7017,340.52,637.03,20.186,-1.2567e-18,1.448e+05,1,0.025415,0.525,0.004575,1
1.6984,341.02,636.17,20.727,-1.6491e-18,1.4562e+05,1,0.026432,0.526,0.004758,1
1.6952,341.51,635.32,21.268,-2.0415e-18,1.4645e+05,1,0.027448,0.527,0.004941,1
1.6919,342,634.46,21.809,-2.4338e-18,1.4728e+05,1,0.028465,0.528,0.005124,1
1.6887,342.49,633.61,22.35,-2.8261e-18,1.481e+05,1,0.029482,0.529,0.005307,1
1.6855,342.97,632.77,22.902,-3.0948e-18,1.4892e+05,1,0.030498,0.53,0.00549,1
1.6829,343.37,632.03,23.516,-2.6589e-18,1.4966e+05,1,0.031515,0.531,0.005673,1
1.6803,343.77,631.29,24.131,-2.223e-18,1.504e+05,1,0.032531,0.532,0.005856,1
1.6777,344.17,630.56,24.745,-1.7871e-18,1.5114e+05,1,0.033548,0.533,0.006039,1
1.675,344.57,629.82,25.359,-1.3512e-18,1.5188e+05,1,0.034565,0.534,0.006222,1
1.6724,344.97,629.08,25.973,-9.1526e-19,1.5262e+05,1,0.035581,0.535,0.006405,1
1.6698,345.37,628.34,26.588,-4.7939e-19,1.5336e+05,1,0.036598,0.536,0.006588,1
1.6672,345.77,627.61,27.202,-4.3522e-20,1.541e+05,1,0.037614,0.537,0.006771,1
1.6646,346.17,626.87,27.816,3.9234e-19,1.5484e+05,1,0.038631,0.538,0.006954,1
1.662,346.57,626.13,28.43,8.2819e-19,1.5558e+05,1,0.039648,0.539,0.007137,1
1.6594,346.97,625.39,29.045,1.2641e-18,1.5631e+05,1,0.040664,0.54,0.00732,1
1.6567,347.37,624.66,29.659,1.6999e-18,1.5705e+05,1,0.041681,0.541,0.007503,1
1.6541,347.77,623.92,30.273,2.1357e-18,1.5779e+05,1,0.042697,0.542,0.007686,1
1.6515,348.17,623.18,30.887,2.5715e-18,1.5853e+05,1,0.043714,0.543,0.007869,1
1.6489,348.57,622.44,31.502,3.0074e-18,1.5927e+05,1,0.044731,0.544,0.008052,1
1.6464,348.95,621.73,32.124,3.4417e-18,1.5999e+05,1,0.045747,0.545,0.008235,1
1.6444,349.27,621.12,32.777,3.8708e-18,1.6063e+05,1,0.046764,0.546,0.008418,1
1.6423,349.58,620.5,33.429,4.2999e-18,1.6126e+05,1,0.047781,0.547,0.008601,1
1.6403,349.9,619.88,34.082,4.729e-18,1.619e+05,1,0.048797,0.548,0.008784,1
1.6382,350.21,619.26,34.734,5.1581e-18,1.6253e+05,1,0.049814,0.549,0.008967,1
1.6362,350.53,618.64,35.387,5.5872e-18,1.6317e+05,1,0.05083,0.55,0.00915,1
1.6342,350.85,618.03,36.039,6.0162e-18,1.638e+05,1,0.051847,0.551,0.009333,1
1.6321,351.16,617.41,36.692,6.4453e-18,1.6444e+05,1,0.052864,0.552,0.009516,1
1.6301,351.48,616.79,37.344,6.8743e-18,1.6507e+05,1,0.05388,0.553,0.009699,1
1.628,351.79,616.17,37.997,7.3033e-18,1.6571e+05,1,0.054897,0.554,0.009882,1
1.626,352.11,615.56,38.649,7.7323e-18,1.6634e+05,1,0.055913,0.555,0.010065,1
1.624,352.43,614.94,39.302,8.1613e-18,1.6698e+05,1,0.05693,0.556,0.010248,1
1.6219,352.74,614.32,39.954,8.5903e-18,1.6761e+05,1,0.057947,0.557,0.010431,1
1.6199,353.06,613.7,40.607,9.0193e-18,1.6825e+05,1,0.058963,0.558,0.010614,1
1.6178,353.37,613.08,41.26,9.4482e-18,1.6888e+05,1,0.05998,0.559,0.010797,1
1.616,353.67,612.5,41.914,9.6822e-18,1.6948e+05,1,0.060996,0.56,0.01098,1
1.6144,353.9,612,42.573,9.4581e-18,1.7e+05,1,0.062013,0.561,0.011163,1
1.6129,354.14,611.5,43.233,9.2341e-18,1.7052e+05,1,0.06303,0.562,0.011346,1
1.6114,354.38,611,43.892,9.01e-18,1.7104e+05,1,0.064046,0.563,0.011529,1
1.6099,354.61,610.5,44.551,8.7859e-18,1.7155e+05,1,0.065063,0.564,0.011712,1
1.6083,354.85,610,45.21,8.5619e-18,1.7207e+05,1,0.066079,0.565,0.011895,1
1.6068,355.09,609.5,45.87,8.3378e-18,1.7259e+05,1,0.067096,0.566,0.012078,1
1.6053,355.32,609,46.529,8.1138e-18,1.7311e+05,1,0.068113,0.567,0.012261,1
1.6037,355.56,608.5,47.188,7.8897e-18,1.7363e+05,1,0.069129,0.568,0.012444,1
1.6022,355.8,608,47.847,7.6657e-18,1.7414e+05,1,0.070146,0.569,0.012627,1
1.6007,356.04,607.5,48.507,7.4417e-18,1.7466e+05,1,0.071162,0.57,0.01281,1
1.5992,356.27,606.99,49.166,7.2177e-18,1.7518e+05,1,0.072179,0.571,0.012993,1
1.5976,356.51,606.49,49.825,6.9936e-18,1.757e+05,1,0.073196,0.572,0.013176,1
1.5961,356.75,605.99,50.485,6.7696e-18,1.7621e+05,1,0.074212,0.573,0.013359,1
1.5946,356.98,605.49,51.144,6.5457e-18,1.7673e+05,1,0.075229,0.574,0.013542,1
1.5932,357.19,605.04,51.795,6.3325e-18,1.772e+05,1,0.076245,0.575,0.013725,1
1.5922,357.36,604.65,52.433,6.1376e-18,1.776e+05,1,0.077262,0.576,0.013908,1
1.5911,357.52,604.26,53.071,5.9427e-18,1.7799e+05,1,0.078279,0.577,0.014091,1
1.59,357.69,603.88,53.709,5.7478e-18,1.7838e+05,1,0.079295,0.578,0.014274,1
1.589,357.85,603.49,54.347,5.5529e-18,1.7878e+05,1,0.080312,0.579,0.014457,1
1.5879,358.02,603.11,54.984,5.358e-18,1.7917e+05,1,0.081329,0.58,0.01464,1
1.5869,358.18,602.72,55.622,5.1631e-18,1.7956e+05,1,0.082345,0.581,0.014823,1
1.5858,358.35,602.33,56.26,4.9682e-18,1.7996e+05,1,0.083362,0.582,0.015006,1
1.5847,358.51,601.95,56.898,4.7733e-18,1.8035e+05,1,0.084378,0.583,0.015189,1
1.5837,358.67,601.56,57.536,4.5784e-18,1.8074e+05,1,0.085395,0.584,0.015372,1
1.5826,358.84,601.18,58.174,4.3835e-18,1.8114e+05,1,0.086412,0.585,0.015555,1
1.5815,359,600.79,58.812,4.1886e-18,1.8153e+05,1,0.087428,0.586,0.015738,1
1.5805,359.17,600.4,59.45,3.9937e-18,1.8192e+05,1,0.088445,0.587,0.015921,1
1.5794,359.33,600.02,60.088,3.7989e-18,1.8232e+05,1,0.089461,0.588,0.016104,1
1.5783,359.5,599.63,60.725,3.604e-18,1.8271e+05,1,0.090478,0.589,0.016287,1
1.5775,359.63,599.29,61.343,3.3908e-18,1.8305e+05,1,0.091495,0.59,0.01647,1
1.5768,359.73,599.02,61.935,3.155e-18,1.8332e+05,1,0.092511,0.591,0.016653,1
1.5762,359.83,598.74,62.527,2.9193e-18,1.8359e+05,1,0.093528,0.592,0.016836,1
1.5755,359.93,598.47,63.12,2.6836e-18,1.8386e+05,1,0.094544,0.593,0.017019,1
1.5749,360.03,598.19,63.712,2.4479e-18,1.8413e+05,1,0.095561,0.594,0.017202,1
1.5742,360.13,597.92,64.304,2.2121e-18,1.844e+05,1,0.096578,0.595,0.017385,1
1.5736,360.23,597.64,64.896,1.9764e-18,1.8467e+05,1,0.097594,0.596,0.017568,1
1.5729,360.33,597.36,65.489,1.7407e-18,1.8493e+05,1,0.098611,0.597,0.017751,1
1.5722,360.43,597.09,66.081,1.505e-18,1.852e+05,1,0.099627,0.598,0.017934,1
1.5716,360.53,596.81,66.673,1.2693e-18,1.8547e+05,1,0.10064,0.599,0.018117,1
1.5709,360.63,596.54,67.265,1.0337e-18,1.8574e+05,1,0.10166,0.6,0.0183,1
1.5703,360.73,596.26,67.858,7.9799e-19,1.8601e+05,1,0.10268,0.601,0.018483,1
1.5696,360.83,595.99,68.45,5.6233e-19,1.8628e+05,1,0.10369,0.602,0.018666,1
1.569,360.93,595.71,69.042,3.2667e-19,1.8655e+05,1,0.10471,0.603,0.018849,1
1.5683,361.03,595.43,69.634,9.1028e-20,1.8682e+05,1,0.10573,0.604,0.019032,1
1.5679,361.1,595.21,70.193,-3.1224e-20,1.8703e+05,1,0.10674,0.605,0.019215,1
1.5676,361.14,595.04,70.72,-4.9798e-20,1.8718e+05,1,0.10776,0.606,0.019398,1
1.5673,361.18,594.87,71.247,-6.8366e-20,1.8733e+05,1,0.10878,0.607,0.019581,1
1.567,361.23,594.7,71.774,-8.6929e-20,1.8748e+05,1,0.10979,0.608,0.019764,1
1.5667,361.27,594.53,72.302,-1.0549e-19,1.8764e+05,1,0.11081,0.609,0.019947,1
1.5664,361.31,594.35,72.829,-1.2404e-19,1.8779e+05,1,0.11183,0.61,0.02013,1
1.5661,361.35,594.18,73.356,-1.4259e-19,1.8794e+05,1,0.11284,0.611,0.020313,1
1.5659,361.4,594.01,73.883,-1.6113e-19,1.8809e+05,1,0.11386,0.612,0.020496,1
1.5656,361.44,593.84,74.41,-1.7966e-19,1.8824e+05,1,0.11488,0.613,0.020679,1
1.5653,361.48,593.67,74.938,-1.9819e-19,1.884e+05,1,0.11589,0.614,0.020862,1
1.565,361.52,593.49,75.465,-2.1672e-19,1.8855e+05,1,0.11691,0.615,0.021045,1
1.5647,361.57,593.32,75.992,-2.3524e-19,1.887e+05,1,0.11793,0.616,0.021228,1
1.5644,361.61,593.15,76.519,-2.5375e-19,1.8885e+05,1,0.11894,0.617,0.021411,1
1.5641,361.65,592.98,77.047,-2.7226e-19,1.89e+05,1,0.11996,0.618,0.021594,1
1.5638,361.69,592.81,77.574,-2.9076e-19,1.8916e+05,1,0.12098,0.619,0.021777,1
1.5637,361.71,592.69,78.053,-1.5752e-19,1.8925e+05,1,0.12199,0.62,0.02196,1
1.5638,361.7,592.61,78.501,7.814e-20,1.8929e+05,1,0.12301,0.621,0.022143,1
1.5638,361.7,592.53,78.949,3.1379e-19,1.8934e+05,1,0.12403,0.622,0.022326,1
1.5638,361.69,592.46,79.396,5.4946e-19,1.8939e+05,1,0.12504,0.623,0.022509,1
1.5638,361.69,592.38,79.844,7.851e-19,1.8943e+05,1,0.12606,0.624,0.022692,1
1.5638,361.68,592.3,80.292,1.0207e-18,1.8948e+05,1,0.12708,0.625,0.022875,1
1.5639,361.68,592.22,80.739,1.2564e-18,1.8953e+05,1,0.12809,0.626,0.023058,1
1.5639,361.67,592.15,81.187,1.492e-18,1.8957e+05,1,0.12911,0.627,0.023241,1
1.5639,361.67,592.07,81.635,1.7276e-18,1.8962e+05,1,0.13013,0.628,0.023424,1
1.5639,361.66,591.99,82.082,1.9632e-18,1.8967e+05,1,0.13114,0.629,0.023607,1
1.5639,361.66,591.91,82.53,2.1988e-18,1.8972e+05,1,0.13216,0.63,0.02379,1
1.564,361.65,591.84,82.978,2.4344e-18,1.8976e+05,1,0.13318,0.631,0.023973,1
1.564,361.65,591.76,83.425,2.67e-18,1.8981e+05,1,0.13419,0.632,0.024156,1
1.564,361.64,591.68,83.873,2.9056e-18,1.8986e+05,1,0.13521,0.633,0.024339,1
1.564,361.64,591.6,84.321,3.1412e-18,1.899e+05,1,0.13623,0.634,0.024522,1
1.5642,361.61,591.58,84.71,2.9164e-18,1.8989e+05,1,0.13724,0.635,0.024705,1
1.5645,361.57,591.58,85.072,2.4666e-18,1.8985e+05,1,0.13826,0.636,0.024888,1
1.5647,361.52,591.59,85.433,2.0168e-18,1.8981e+05,1,0.13928,0.637,0.025071,1
1.565,361.48,591.59,85.795,1.5671e-18,1.8977e+05,1,0.14029,0.638,0.025254,1
1.5653,361.44,591.6,86.156,1.1173e-18,1.8973e+05,1,0.14131,0.639,0.025437,1
1.5656,361.39,591.6,86.517,6.676e-19,1.8969e+05,1,0.14232,0.64,0.02562,1
1.5658,361.35,591.6,86.879,2.1791e-19,1.8965e+05,1,0.14334,0.641,0.025803,1
1.5661,361.31,591.61,87.24,-2.3179e-19,1.8961e+05,1,0.14436,0.642,0.025986,1
1.5664,361.26,591.61,87.602,-6.8143e-19,1.8957e+05,1,0.14537,0.643,0.026169,1
1.5667,361.22,591.61,87.963,-1.1311e-18,1.8953e+05,1,0.14639,0.644,0.026352,1
1.5669,361.18,591.62,88.324,-1.5807e-18,1.8949e+05,1,0.14741,0.645,0.026535,1
1.5672,361.13,591.62,88.686,-2.0303e-18,1.8945e+05,1,0.14842,0.646,0.026718,1
1.5675,361.09,591.63,89.047,-2.4798e-18,1.894e+05,1,0.14944,0.647,0.026901,1
1.5677,361.05,591.63,89.409,-2.9294e-18,1.8936e+05,1,0.15046,0.648,0.027084,1
1.568,361,591.63,89.77,-3.3789e-18,1.8932e+05,1,0.15147,0.649,0.027267,1
1.5684,360.94,591.68,90.068,-3.3189e-18,1.8923e+05,1,0.15249,0.65,0.02745,1
1.5689,360.87,591.75,90.345,-3.0857e-18,1.8913e+05,1,0.15351,0.651,0.027633,1
1.5693,360.8,591.82,90.621,-2.8526e-18,1.8902e+05,1,0.15452,0.652,0.027816,1
1.5698,360.73,591.89,90.898,-2.6194e-18,1.8892e+05,1,0.15554,0.653,0.027999,1
1.5703,360.66,591.95,91.174,-2.3863e-18,1.8881e+05,1,0.15656,0.654,0.028182,1
1.5707,360.59,592.02,91.451,-2.1531e-18,1.8871e+05,1,0.15757,0.655,0.028365,1
1.5712,360.52,592.09,91.728,-1.92e-18,1.886e+05,1,0.15859,0.656,0.028548,1
1.5716,360.45,592.16,92.004,-1.6869e-18,1.8849e+05,1,0.15961,0.657,0.028731,1
1.5721,360.38,592.22,92.281,-1.4538e-18,1.8839e+05,1,0.16062,0.658,0.028914,1
1.5726,360.3,592.29,92.557,-1.2207e-18,1.8828e+05,1,0.16164,0.659,0.029097,1
1.573,360.23,592.36,92.834,-9.8766e-19,1.8818e+05,1,0.16266,0.66,0.02928,1
1.5735,360.16,592.43,93.11,-7.5462e-19,1.8807e+05,1,0.16367,0.661,0.029463,1
1.5739,360.09,592.49,93.387,-5.2158e-19,1.8797e+05,1,0.16469,0.662,0.029646,1
1.5744,360.02,592.56,93.664,-2.8856e-19,1.8786e+05,1,0.16571,0.663,0.029829,1
1.5748,359.95,592.63,93.94,-5.5555e-20,1.8776e+05,1,0.16672,0.664,0.030012,1
1.5754,359.87,592.73,94.152,3.6334e-19,1.8762e+05,1,0.16774,0.665,0.030195,1
1.5759,359.79,592.84,94.349,8.2275e-19,1.8747e+05,1,0.16876,0.666,0.030378,1
1.5765,359.7,592.94,94.546,1.2821e-18,1.8733e+05,1,0.16977,0.667,0.030561,1
1.577,359.62,593.05,94.744,1.7415e-18,1.8718e+05,1,0.17079,0.668,0.030744,1
1.5776,359.53,593.16,94.941,2.2008e-18,1.8704e+05,1,0.17181,0.669,0.030927,1
1.5782,359.45,593.27,95.139,2.6601e-18,1.8689e+05,1,0.17282,0.67,0.03111,1
1.5787,359.37,593.38,95.336,3.1194e-18,1.8675e+05,1,0.17384,0.671,0.031293,1
1.5793,359.28,593.48,95.533,3.5786e-18,1.866e+05,1,0.17486,0.672,0.031476,1
1.5798,359.2,593.59,95.731,4.0378e-18,1.8646e+05,1,0.17587,0.673,0.031659,1
1.5804,359.12,593.7,95.928,4.497e-18,1.8631e+05,1,0.17689,0.674,0.031842,1
1.5809,359.03,593.81,96.125,4.9562e-18,1.8616e+05,1,0.17791,0.675,0.032025,1
1.5815,358.95,593.91,96.323,5.4153e-18,1.8602e+05,1,0.17892,0.676,0.032208,1
1.5821,358.87,594.02,96.52,5.8744e-18,1.8587e+05,1,0.17994,0.677,0.032391,1
1.5826,358.78,594.13,96.718,6.3334e-18,1.8573e+05,1,0.18096,0.678,0.032574,1
1.5832,358.7,594.24,96.915,6.7925e-18,1.8558e+05,1,0.18197,0.679,0.032757,1
1.5837,358.61,594.36,97.05,6.6273e-18,1.8543e+05,1,0.18299,0.68,0.03294,1
1.5843,358.53,594.49,97.178,6.3894e-18,1.8527e+05,1,0.18401,0.681,0.033123,1
1.5849,358.44,594.62,97.306,6.1514e-18,1.8511e+05,1,0.18502,0.682,0.033306,1
1.5855,358.36,594.74,97.433,5.9134e-18,1.8495e+05,1,0.18604,0.683,0.033489,1
1.586,358.27,594.87,97.561,5.6754e-18,1.8479e+05,1,0.18706,0.684,0.033672,1
1.5866,358.19,594.99,97.689,5.4374e-18,1.8463e+05,1,0.18807,0.685,0.033855,1
1.5872,358.11,595.12,97.817,5.1994e-18,1.8447e+05,1,0.18909,0.686,0.034038,1
1.5878,358.02,595.25,97.945,4.9614e-18,1.8431e+05,1,0.19011,0.687,0.034221,1
1.5883,357.94,595.37,98.072,4.7234e-18,1.8415e+05,1,0.19112,0.688,0.034404,1
1.5889,357.85,595.5,98.2,4.4854e-18,1.8399e+05,1,0.19214,0.689,0.034587,1
1.5895,357.77,595.63,98.328,4.2474e-18,1.8383e+05,1,0.19316,0.69,0.03477,1
1.5901,357.68,595.75,98.456,4.0094e-18,1.8367e+05,1,0.19417,0.691,0.034953,1
1.5906,357.6,595.88,98.584,3.7714e-18,1.8351e+05,1,0.19519,0.692,0.035136,1
1.5912,357.51,596.01,98.711,3.5334e-18,1.8335e+05,1,0.19621,0.693,0.035319,1
1.5918,357.43,596.13,98.839,3.2954e-18,1.8319e+05,1,0.19722,0.694,0.035502,1
1.5923,357.35,596.26,98.911,2.8473e-18,1.8303e+05,1,0.19824,0.695,0.035685,1
1.5929,357.27,596.39,98.982,2.3927e-18,1.8288e+05,1,0.19925,0.696,0.035868,1
1.5934,357.2,596.52,99.052,1.9382e-18,1.8272e+05,1,0.20027,0.697,0.036051,1
1.5939,357.12,596.64,99.123,1.4837e-18,1.8257e+05,1,0.20129,0.698,0.036234,1
1.5945,357.04,596.77,99.194,1.0292e-18,1.8241e+05,1,0.2023,0.699,0.036417,1
1.595,356.96,596.9,99.264,5.7474e-19,1.8226e+05,1,0.20332,0.7,0.0366,1
1.5956,356.89,597.03,99.335,1.2031e-19,1.821e+05,1,0.20434,0.701,0.036783,1
1.5961,356.81,597.16,99.405,-3.3411e-19,1.8195e+05,1,0.20535,0.702,0.036966,1
1.5966,356.73,597.29,99.476,-7.8847e-19,1.8179e+05,1,0.20637,0.703,0.037149,1
1.5972,356.65,597.41,99.546,-1.2428e-18,1.8164e+05,1,0.20739,0.704,0.037332,1
1.5977,356.58,597.54,99.617,-1.6971e-18,1.8148e+05,1,0.2084,0.705,0.037515,1
1.5983,356.5,597.67,99.687,-2.1514e-18,1.8133e+05,1,0.20942,0.706,0.037698,1
1.5988,356.42,597.8,99.758,-2.6057e-18,1.8117e+05,1,0.21044,0.707,0.037881,1
1.5993,356.34,597.93,99.829,-3.0599e-18,1.8102e+05,1,0.21145,0.708,0.038064,1
1.5999,356.27,598.05,99.897,-3.4936e-18,1.8086e+05,1,0.21247,0.709,0.038247,1
1.6003,356.2,598.17,99.924,-3.489e-18,1.8073e+05,1,0.21349,0.71,0.03843,1
1.6008,356.14,598.29,99.95,-3.4844e-18,1.8059e+05,1,0.2145,0.711,0.038613,1
1.6013,356.07,598.41,99.977,-3.4798e-18,1.8045e+05,1,0.21552,0.712,0.038796,1
1.6017,356,598.53,100,-3.4752e-18,1.8031e+05,1,0.21654,0.713,0.038979,1
1.6022,355.94,598.64,100.03,-3.4706e-18,1.8017e+05,1,0.21755,0.714,0.039162,1
1.6027,355.87,598.76,100.06,-3.466e-18,1.8004e+05,1,0.21857,0.715,0.039345,1
1.6031,355.81,598.88,100.08,-3.4614e-18,1.799e+05,1,0.21959,0.716,0.039528,1
1.6036,355.74,599,100.11,-3.4568e-18,1.7976e+05,1,0.2206,0.717,0.039711,1
1.6041,355.68,599.12,100.14,-3.4522e-18,1.7962e+05,1,0.22162,0.718,0.039894,1
1.6045,355.61,599.23,100.16,-3.4475e-18,1.7948e+05,1,0.22264,0.719,0.040077,1
1.605,355.54,599.35,100.19,-3.4429e-18,1.7934e+05,1,0.22365,0.72,0.04026,1
1.6055,355.48,599.47,100.22,-3.4383e-18,1.7921e+05,1,0.22467,0.721,0.040443,1
1.6059,355.41,599.59,100.24,-3.4336e-18,1.7907e+05,1,0.22569,0.722,0.040626,1
1.6064,355.35,599.71,100.27,-3.4289e-18,1.7893e+05,1,0.2267,0.723,0.040809,1
1.6069,355.28,599.82,100.29,-3.3973e-18,1.7879e+05,1,0.22772,0.724,0.040992,1
1.6072,355.23,599.92,100.29,-3.1665e-18,1.7868e+05,1,0.22874,0.725,0.041175,1
1.6076,355.18,600.02,100.28,-2.9358e-18,1.7857e+05,1,0.22975,0.726,0.041358,1
1.608,355.13,600.12,100.28,-2.7052e-18,1.7845e+05,1,0.23077,0.727,0.041541,1
1.6084,355.08,600.23,100.27,-2.4745e-18,1.7834e+05,1,0.23179,0.728,0.041724,1
1.6087,355.03,600.33,100.27,-2.2438e-18,1.7822e+05,1,0.2328,0.729,0.041907,1
1.6091,354.97,600.43,100.27,-2.0132e-18,1.7811e+05,1,0.23382,0.73,0.04209,1
1.6095,354.92,600.53,100.26,-1.7825e-18,1.7799e+05,1,0.23484,0.731,0.042273,1
1.6099,354.87,600.63,100.26,-1.5519e-18,1.7788e+05,1,0.23585,0.732,0.042456,1
1.6103,354.82,600.73,100.25,-1.3213e-18,1.7776e+05,1,0.23687,0.733,0.042639,1
1.6106,354.77,600.83,100.25,-1.0907e-18,1.7765e+05,1,0.23789,0.734,0.042822,1
1.611,354.72,600.93,100.24,-8.6017e-19,1.7754e+05,1,0.2389,0.735,0.043005,1
1.6114,354.66,601.03,100.24,-6.2961e-19,1.7742e+05,1,0.23992,0.736,0.043188,1
1.6118,354.61,601.13,100.23,-3.9907e-19,1.7731e+05,1,0.24094,0.737,0.043371,1
1.6121,354.56,601.23,100.23,-1.6854e-19,1.7719e+05,1,0.24195,0.738,0.043554,1
1.6125,354.51,601.33,100.22,1.759e-20,1.7708e+05,1,0.24297,0.739,0.043737,1
1.6128,354.48,601.41,100.2,1.9337e-20,1.77e+05,1,0.24399,0.74,0.04392,1
1.613,354.44,601.49,100.17,2.1084e-20,1.7691e+05,1,0.245,0.741,0.044103,1
1.6133,354.4,601.56,100.15,2.2832e-20,1.7682e+05,1,0.24602,0.742,0.044286,1
1.6136,354.36,601.64,100.13,2.4579e-20,1.7673e+05,1,0.24704,0.743,0.044469,1
1.6139,354.33,601.72,100.1,2.6327e-20,1.7664e+05,1,0.24805,0.744,0.044652,1
1.6142,354.29,601.8,100.08,2.8074e-20,1.7656e+05,1,0.24907,0.745,0.044835,1
